# 更新标记: 2025-07-26 15:22:46
央视频道,#genre#
CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV3,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000391
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV5,https://smart.pendy.dpdns.org/Smart.php?id=cctv5
CCTV5+,http://go.bkpcp.top/mg/cctv5p
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV7,http://go.bkpcp.top/mg/cctv7
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV10,http://go.bkpcp.top/mg/cctv10
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV12,http://go.bkpcp.top/mg/cctv12
CCTV13,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000514
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV16,http://go.bkpcp.top/mg/cctv16
CCTV17,http://go.bkpcp.top/mg/cctv17
CCTV少儿,http://api.mytv666.top/api/fh6.php?t=少儿频道&id=CCTV少儿
CCTV风云剧场,http://n1.gzbody.com:85/rtp/239.253.43.16:5146
CCTV兵器科技,http://n1.gzbody.com:85/rtp/239.253.43.9:5146
CCTV第一剧场,http://n1.gzbody.com:85/rtp/239.253.43.15:5146
CCTV央视台球,http://n1.gzbody.com:85/rtp/239.253.43.11:5146
CCTV风云足球,https://epg.pw/stream/ac8062ec9484078061d3bef507c15a423ac57ae4144e3fcc4b0a198dd420f911.m3u8
CCTV高尔夫网球,http://n1.gzbody.com:85/rtp/239.253.43.12:5146
CCTV老故事,http://8.138.7.223/tv/migu3.php?id=lgs
CCTV世界地理,http://n1.gzbody.com:85/rtp/239.253.43.7:5146
CCTV风云音乐,http://n1.gzbody.com:85/rtp/239.253.43.6:5146
CCTV女性时尚,http://n1.gzbody.com:85/rtp/239.253.43.8:5146
CCTV怀旧剧场,http://n1.gzbody.com:85/rtp/239.253.43.5:5146
CCTV文化精品,http://n1.gzbody.com:85/rtp/239.253.43.13:5146
CCTV卫生健康,http://n1.gzbody.com:85/rtp/239.77.0.212:5146
CCTV国防军事,http://nas.hssvm.com:8888/udp/225.1.1.187:5002
CCTV发现之旅,http://8.138.7.223/tv/migu3.php?id=fxzl
CCTV电视指南,http://n1.gzbody.com:85/rtp/239.253.43.10:5146
CCTV16(4K),http://59.172.165.37:8686/rtp/239.69.1.249:11136
CCTV4K,http://115.58.140.72:5555/nptv/cctv4k.m3u8
CCTV8K,http://115.58.140.72:5555/nptv/cctv8k.m3u8
CCTV20241,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV+1,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV中视购物,http://58.221.214.82:9901/tsfile/live/0013_2.m3u8
CCTV兵器,http://120.238.94.10:9901/tsfile/live/1096_1.m3u8
CCTVNEWS,http://58.19.43.46:9901/tsfile/live/1002_1.m3u8
CCTV中学生,http://8.138.7.223/tv/migu3.php?id=zxs
CCTV西班牙语,http://8.138.7.223/tv/migu3.php?id=cgtne
CCTV法语,http://8.138.7.223/tv/migu3.php?id=cgtnf
CCTV阿拉伯语,http://8.138.7.223/tv/migu3.php?id=cgtna
CCTV俄语,http://8.138.7.223/tv/migu3.php?id=cgtnr
CCTV-NEWS,http://183.11.239.36:808/hls/34/index.m3u8
CCTV电视剧,https://live.iill.top/youtube/@CCTVDrama
CCTVnews,http://1b6467f415.iok.la:9931/tsfile/live/1036_1.m3u8
CCTV新科动漫,http://nas.hssvm.com:8888/udp/225.1.1.191:5002
CCTV卫生与健康,http://nas.hssvm.com:8888/udp/225.1.1.210:5002
CCTV高尔夫球,http://nas.hssvm.com:8888/udp/225.1.1.182:5002
